MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,SBase_P2P,SBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
1,1,1,200,1.804046631,30.16471863,0.741577148,10.23010254,0.174,1.627,-1.078,0,1,1,0,100,0,1,0
2,1,3,500,1.922607422,48.57894897,1.238555908,15.03128052,0.459,2.404,-0.874,1,1,1,1,100,0,1,0
3,1,4,200,0.031280518,2.901000977,0.044403076,1.106872559,0.32,1.573,-0.687,1,1,0,0,100,0,1,0
4,1,1,500,1.877746582,41.15722656,1.064147949,12.084198,0.32,1.35,-0.521,1,1,0,0,100,0,1,0
5,1,3,500,1.830444336,31.28921509,1.028442383,9.202423096,0.343,1.097,-0.567,1,1,0,0,100,0,1,0
6,1,4,200,3.035583496,48.40736389,1.083831787,9.347229004,0.251,0.985,-0.06,1,1,0,0,100,0,1,0
7,1,1,500,2.189788818,39.24636841,1.087341309,14.30007935,0.16,1.122,-0.072,1,1,0,0,100,0,1,0
8,1,3,200,2.419281006,32.24159241,1.060638428,7.40737915,0.215,1.201,-0.103,1,1,0,0,100,0,1,0
9,1,4,200,2.364959717,39.58206177,1.201019287,13.43948364,0.275,1.312,-0.239,1,1,0,0,100,0,1,0
10,1,1,500,3.216094971,49.4203949,1.416473389,11.93611145,0.072,0.979,-0.095,1,1,0,0,100,0,1,0
11,1,3,200,2.818908691,42.33665466,1.343231201,10.52330017,0.104,1.144,-0.155,1,1,0,0,100,0,1,0
12,1,4,500,2.956695557,51.8850708,1.426391602,14.13345337,0.056,1.008,-0.184,1,1,0,0,100,0,1,0
13,1,1,500,3.762664795,58.9024353,1.755981445,21.59881592,0.167,1.137,-0.239,1,1,0,0,100,0,1,0
14,1,3,200,3.852081299,58.22570801,1.828460693,18.30619812,0.249,0.859,-0.298,1,1,0,0,100,0,1,0
15,1,4,500,2.850952148,49.59793091,1.829681396,24.3977356,0.277,0.904,-0.331,1,1,0,0,100,0,1,0
16,1,1,200,2.894439697,49.53811646,1.281738281,10.5027771,0.268,1.002,-0.315,1,1,0,0,100,0,1,0
17,1,3,200,2.541503906,41.62330627,1.297912598,9.64302063,0.09,1.049,0.14,1,1,0,0,100,0,1,0
18,1,4,500,2.588806152,71.73782349,1.334533691,18.82797241,0.082,0.789,0.223,1,1,0,0,100,0,1,0
19,1,1,200,3.791656494,51.89231873,1.776580811,24.81636047,0.142,0.79,0.208,1,1,0,0,100,0,1,0
20,1,3,500,4.177246094,56.45431519,1.396942139,9.86946106,0.26,0.724,0.252,1,1,0,0,100,0,1,0
21,1,4,500,3.341064453,58.45153809,1.556549072,17.41210938,0.243,0.803,0.415,1,1,0,0,100,0,1,0
22,1,1,200,4.380187988,65.37460327,1.886138916,28.2963562,0.255,0.78,0.481,1,1,0,0,100,0,1,0
23,1,3,500,3.183746338,64.48860168,1.610565186,13.45603943,0.197,0.97,0.438,1,1,0,0,100,0,1,0
