MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,LBase_P2P,LBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
1,1,1,200,1.804046631,30.16471863,1.35925293,92.35740662,0.174,1.627,-1.078,0,1,1,0,100,0,1,0
2,1,3,500,1.922607422,48.57894897,1.681213379,116.8591309,0.459,2.404,-0.874,1,1,1,1,100,0,1,0
3,1,4,200,0.031280518,2.901000977,6.120758057,89.49668884,0.32,1.573,-0.687,1,1,0,0,100,0,1,0
4,1,1,500,1.877746582,41.15722656,1.335906982,115.5802155,0.32,1.35,-0.521,1,1,0,0,100,0,1,0
5,1,3,500,1.830444336,31.28921509,1.357421875,103.7854004,0.343,1.097,-0.567,1,1,0,0,100,0,1,0
6,1,4,200,3.035583496,48.40736389,1.647186279,140.7292938,0.251,0.985,-0.06,1,1,0,0,100,0,1,0
7,1,1,500,2.189788818,39.24636841,1.170806885,102.8429413,0.16,1.122,-0.072,1,1,0,0,100,0,1,0
8,1,3,200,2.419281006,32.24159241,1.460113525,117.0626831,0.215,1.201,-0.103,1,1,0,0,100,0,1,0
9,1,4,200,2.364959717,39.58206177,1.645355225,134.8730469,0.275,1.312,-0.239,1,1,0,0,100,0,1,0
10,1,1,500,3.216094971,49.4203949,1.876831055,162.0399475,0.072,0.979,-0.095,1,1,0,0,100,0,1,0
11,1,3,200,2.818908691,42.33665466,1.650543213,139.8120117,0.104,1.144,-0.155,1,1,0,0,100,0,1,0
12,1,4,500,2.956695557,51.8850708,2.015228271,175.5144501,0.056,1.008,-0.184,1,1,0,0,100,0,1,0
13,1,1,500,3.762664795,58.9024353,1.828765869,168.8790131,0.167,1.137,-0.239,1,1,0,0,100,0,1,0
14,1,3,200,3.852081299,58.22570801,2.092590332,187.0996857,0.249,0.859,-0.298,1,1,0,0,100,0,1,0
15,1,4,500,2.850952148,49.59793091,1.829681396,169.6740723,0.277,0.904,-0.331,1,1,0,0,100,0,1,0
16,1,1,200,2.894439697,49.53811646,1.86416626,160.2347565,0.268,1.002,-0.315,1,1,0,0,100,0,1,0
17,1,3,200,2.541503906,41.62330627,1.721496582,142.276535,0.09,1.049,0.14,1,1,0,0,100,0,1,0
18,1,4,500,2.588806152,71.73782349,1.860809326,166.7007446,0.082,0.789,0.223,1,1,0,0,100,0,1,0
19,1,1,200,3.791656494,51.89231873,1.942901611,159.7476959,0.142,0.79,0.208,1,1,0,0,100,0,1,0
20,1,3,500,4.177246094,56.45431519,1.986999512,177.3083496,0.26,0.724,0.252,1,1,0,0,100,0,1,0
21,1,4,500,3.341064453,58.45153809,2.004699707,157.4502563,0.243,0.803,0.415,1,1,0,0,100,0,1,0
22,1,1,200,4.380187988,65.37460327,2.186889648,209.2105865,0.255,0.78,0.481,1,1,0,0,100,0,1,0
23,1,3,500,3.183746338,64.48860168,2.205810547,203.6300659,0.197,0.97,0.438,1,1,0,0,100,0,1,0
